point_id,x,y
0,259.3125,330.5625
1,272.696784398568,316.358643514109
2,286.045113913928,302.121045867387
3,298.955943406318,287.150172828178
4,311.955573572329,272.357809938939
5,326.342554643401,259.811955204211
6,342.685585035899,247.298067788621
7,360.325208192944,237.860499272974
8,378.743886339246,236.350128179921
9,398.489837844802,238.756584182939
10,417.324850451213,242.840940229761
11,434.896465406781,251.521233019628
12,452.031606735623,261.414347874109
13,468.910901650288,271.184205260472
14,485.4375,281.625
